record_id,county,scientific_name,s_common_name,inf_taxon,group_member_type_desc,g_rank,s_rank,g1g2s1s2,state_status,state_protect_status_desc,fed_status,fed_protect_desc,listed_species,tracked_species,swap_priority_desc,presence_status,obsrank,locuseclass,date_class,first_obs_date,last_survey_date,dateconvert,count_records,eo_id_sc
143,Abbeville,Cyprinella labrosa,Thicklip Chub,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,> 40 Years,1976-06-09,1976-06-09,1976-06-09,81,10903
147,Abbeville,Cyprinella pyrrhomelas,Fieryblack Shiner,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S3S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,5 - 10 Years,1976-06-09,2017-06-28,2017-06-28,81,11019
150,Abbeville,Cyprinella zanema,Santee Chub,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,N - Not Ranked,Not applicable,> 40 Years,1976-06-09,1976-06-09,1976-06-09,81,11129
152,Abbeville,Distocambarus carlsoni,Mimic Crayfish,Crayfishes,Zoological,G2G3,S2,1,Not Applicable,Not Applicable,ARS: At-Risk Species,ARS: At-Risk Species,1,1,Highest,3,N - Not Ranked,Not applicable,> 40 Years,1983-05-09,1984-02-04,1984-02-04,81,15712
155,Abbeville,Distocambarus crockeri,Piedmont Prairie Burrowing Crayfish,Crayfishes,Zoological,G3,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,1981-04-17,2022-03-16,2022-03-16,81,18058
158,Abbeville,Eleocharis atropurpurea,Purple Spikerush,Monocots,Botanical,G4G5,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not Recorded,20 - 40 Years,1993-07-27,1993-07-27,1993-07-27,81,7241
159,Abbeville,Elimia catenaria,Gravel Elimia,Freshwater Snails,Zoological,G4,S4S5,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not applicable,5 - 10 Years,2015-10-20,2015-10-20,2015-10-20,81,25833
165,Abbeville,Elliptio angustata,Carolina Lance,Freshwater Mussels,Zoological,G4,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,5 - 10 Years,2015-04-09,2015-04-09,2015-04-09,81,25810
167,Abbeville,Elliptio icterina,Variable Spike,Freshwater Mussels,Zoological,G5,S4S5,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not applicable,5 - 10 Years,2005-09-25,2015-04-09,2015-04-09,81,16425
170,Abbeville,Elliptio producta,Atlantic Spike,Freshwater Mussels,Zoological,G3,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,N - Not Ranked,Not applicable,10 - 20 Years,2006-10-12,2009-06-03,2009-06-03,81,16534
171,Abbeville,Eptesicus fuscus,Big Brown Bat,Mammals,Zoological,G5,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Highest,3,N - Not Ranked,Breeding,< 5 Years,2019-05-25,2022-07-17,2022-07-17,81,71
172,Abbeville,Etheostoma collis,Carolina Darter,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G3,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,2020-09-28,2020-09-28,2020-09-28,81,27538
176,Abbeville,Etheostoma hopkinsi,Christmas Darter,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4G5,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Highest,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,1974-08-14,2022-06-21,2022-06-21,81,14043
208,Abbeville,Etheostoma inscriptum,Turquoise Darter,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S2S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,N - Not Ranked,Not applicable,5 - 10 Years,2016-07-27,2016-07-27,2016-07-27,81,14097
210,Abbeville,Euonymus atropurpureus,"American Wahoo, Burning Bush",Dicots,Botanical,G5,S1,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not Recorded,> 40 Years,1979-06-15,1979-06-15,1979-06-15,81,5394
211,Abbeville,Frasera caroliniensis,American Columbo,Dicots,Botanical,G5,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not Recorded,5 - 10 Years,1992-10-25,2019-04-20,2019-04-20,81,156
213,Abbeville,Galba cubensis,Carib Fossaria,Freshwater Snails,Zoological,G5,S2S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not applicable,10 - 20 Years,2008-08-07,2008-08-07,2008-08-07,81,25046
215,Abbeville,Galearis spectabilis,Showy Orchis,Monocots,Botanical,G5,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,BC - Good or fair estimated viability,Not Recorded,20 - 40 Years,1997-04-18,1997-04-18,1997-04-18,81,2117
216,Abbeville,Haliaeetus leucocephalus,Bald Eagle,Birds,Zoological,G5,"S3B,S3N",1,ST: State Threatened,ST: State Threatened,Bald & Golden Eagle Protection Act,Bald & Golden Eagle Protection Act,1,1,High,3,N - Not Ranked,Breeding,< 5 Years,2022,2022,2022,81,1096
219,Abbeville,Hybopsis rubrifrons,Rosyface Chub,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,< 5 Years,1973-07-06,2022-06-21,2022-06-21,81,9766
270,Abbeville,Lampropeltis rhombomaculata,Mole Kingsnake,Reptiles,Zoological,G5,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not applicable,< 5 Years,2022-05-30,2022-06-01,2022-06-01,81,22977
271,Abbeville,Lanius ludovicianus,Loggerhead Shrike,Birds,Zoological,G4,S3,1,Not Applicable,Not Applicable,MBTA: Migratory Bird Treaty Act,MBTA: Migratory Bird Treaty Act,1,1,Highest,3,N - Not Ranked,Breeding,20 - 40 Years,1993,1993,1993,81,26014
274,Abbeville,Lasionycteris noctivagans,Silver-haired Bat,Mammals,Zoological,G3G4,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Highest,3,E - Verified extant (viability not assessed),Nonbreeding,20 - 40 Years,1990,1990,1990,81,22288
275,Abbeville,Lasiurus borealis,Eastern Red Bat,Mammals,Zoological,G3G4,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Highest,3,N - Not Ranked,Breeding,< 5 Years,2019-05-25,2022-07-18,2022-07-18,81,336
276,Abbeville,Lasiurus cinereus,Hoary Bat,Mammals,Zoological,G3G4,S2,1,Not Applicable,Not Applicable,ARS: At-Risk Species,ARS: At-Risk Species,1,1,Highest,3,N - Not Ranked,Undetermined,< 5 Years,2019-06-17,2022-06-15,2022-06-15,81,25465
282,Abbeville,Limnothlypis swainsonii,Swainson's Warbler,Birds,Zoological,G4,S4,1,Not Applicable,Not Applicable,MBTA: Migratory Bird Treaty Act,MBTA: Migratory Bird Treaty Act,1,1,High,3,N - Not Ranked,Breeding,> 40 Years,1976-10-02,1976-10-02,1976-10-02,81,4822
283,Abbeville,Lithospermum tuberosum,Southern Stoneseed,Dicots,Botanical,G4,S1,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,X - Extirpated,Not Recorded,> 40 Years,1980-05-06,1980-05-06,1980-05-06,81,4440
285,Abbeville,Menispermum canadense,"Moonseed, Yellow Parilla",Dicots,Botanical,G5,S3?,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not Recorded,20 - 40 Years,1998-05-20,1998-05-20,1998-05-20,81,5533
286,Abbeville,Micropterus sp. 1 (Savannah),Bartram's Bass,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,GNR,S1,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Highest,3,N - Not Ranked,Not applicable,5 - 10 Years,1976-06-09,2017-06-28,2017-06-28,81,17870
292,Abbeville,Morone saxatilis,Striped Bass,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G5,S4S5,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Freshwater,> 40 Years,1976-11-30,1976-11-30,1976-11-30,81,13178
294,Abbeville,Moxostoma collapsum,Notchlip Redhorse,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G5,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,5 - 10 Years,1976-06-09,2017-06-28,2017-06-28,81,11377
309,Abbeville,Moxostoma robustum,Robust Redhorse,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G1,S1,1,Not Applicable,Not Applicable,ARS: At-Risk Species,ARS: At-Risk Species,1,1,Highest,3,E - Verified extant (viability not assessed),Not applicable,10 - 20 Years,2011-12-02,2011-12-02,2011-12-02,81,30844
310,Abbeville,Moxostoma rupiscartes,Striped Jumprock,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S3S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,1973-07-12,2020-09-28,2020-09-28,81,27610
388,Abbeville,Moxostoma sp. 4,Brassy Jumprock,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not applicable,5 - 10 Years,2016-07-27,2016-07-27,2016-07-27,81,27716
392,Abbeville,Myotis austroriparius,Southeastern Bat,Mammals,Zoological,G4,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Highest,3,N - Not Ranked,Breeding,5 - 10 Years,2019-06-04,2019-06-23,2019-06-23,81,1249
393,Abbeville,Myotis lucifugus,Little Brown Bat,Mammals,Zoological,G3G4,S2,1,Not Applicable,Not Applicable,ARS: At-Risk Species,ARS: At-Risk Species,1,1,Highest,3,N - Not Ranked,Undetermined,< 5 Years,2020-07-08,2020-07-08,2020-07-08,81,24015
399,Abbeville,Notropis scepticus,Sandbar Shiner,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,2020-09-28,2020-09-28,2020-09-28,81,27746
423,Abbeville,Noturus gyrinus,Tadpole Madtom,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G5,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,2022-06-20,2022-06-20,2022-06-20,81,27749
441,Abbeville,Noturus leptacanthus,Speckled Madtom,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G5,S3S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,1974-10-01,2022-06-21,2022-06-21,81,27824
503,Abbeville,Ophioglossum pycnostichum,Southern Adder’s-tongue,"Adder's-tongues, Grapeferns, and Moonworts",Botanical,G5,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not Recorded,5 - 10 Years,2019-05-16,2019-05-16,2019-05-16,81,311
521,Abbeville,Osmorhiza claytonii,"Bland Sweet Cicely, Hairy Sweet Cicely",Dicots,Botanical,G5,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,H - Historical,Not Recorded,> 40 Years,1968-04-25,1968-04-25,1968-04-25,81,3208
522,Abbeville,Pachysandra procumbens,"Mountain Pachysandra, Allegheny-spurge",Dicots,Botanical,G4G5,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,X - Extirpated,Not Recorded,> 40 Years,1979-09-06,1979-09-06,1979-09-06,81,4666
523,Abbeville,Panax quinquefolius,"Ginseng, Sang, American Ginseng",Dicots,Botanical,G3G4,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,N - Not Ranked,Not Recorded,5 - 10 Years,1979-06-15,2019-06-13,2019-06-13,81,1844
529,Abbeville,Percina crassa,Piedmont Darter,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S3S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,N - Not Ranked,Not applicable,5 - 10 Years,1976-06-09,2017-06-28,2017-06-28,81,14780
532,Abbeville,Percina westfalli,Westfall's Darter,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,GNR,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,2016-07-27,2022-06-21,2022-06-21,81,27891
556,Abbeville,Perimyotis subflavus,Tricolored Bat,Mammals,Zoological,G3G4,S3,1,Not Applicable,Not Applicable,LEP: Federally Endangered (Proposed),LEP: Federally Endangered (Proposed),1,1,Highest,3,N - Not Ranked,Undetermined,< 5 Years,2020-07-09,2020-07-09,2020-07-09,81,24018
586,Abbeville,Peucaea aestivalis,Bachman's Sparrow,Birds,Zoological,G3,S3,1,Not Applicable,Not Applicable,MBTA: Migratory Bird Treaty Act,MBTA: Migratory Bird Treaty Act,1,1,Highest,3,N - Not Ranked,Breeding,20 - 40 Years,1993,1993,1993,81,26171
588,Abbeville,Platanthera lacera,"Green Fringed Orchid, Ragged Fringed Orchid, Ragged Orchid",Monocots,Botanical,G5,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not Recorded,20 - 40 Years,1998-05-20,1998-05-20,1998-05-20,81,4602
590,Abbeville,Procambarus raneyi,Disjunct Crayfish,Crayfishes,Zoological,G4,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,2020-05-08,2020-05-08,2020-05-08,81,26585
662,Abbeville,Procambarus spiculifer,White Tubercled Crayfish,Crayfishes,Zoological,G5,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not applicable,> 40 Years,1983-05-09,1983-05-09,1983-05-09,81,27011
676,Abbeville,Procambarus troglodytes,Eastern Red Swamp Crayfish,Crayfishes,Zoological,G5,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not applicable,Date Unknown,No Date,No Date,No Date,81,28628
678,Abbeville,Pseudemys concinna,River Cooter,Turtles,Zoological,G5,S4,1,R: Regulated,R: Regulated,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,< 5 Years,2022-04-03,2022-04-03,2022-04-03,81,27002
681,Abbeville,Pseudemys concinna concinna,River Cooter,Turtles,Zoological,G5,S4,1,R: Regulated,R: Regulated,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,< 5 Years,2022-04-03,2022-04-03,2022-04-03,81,27002
684,Abbeville,Sciurus niger,Eastern Fox Squirrel,Mammals,Zoological,G5,S3S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,< 5 Years,2023-06-28,2023-06-28,2023-06-28,81,27105
688,Abbeville,Scutellaria parvula,Dwarf Skullcap,Dicots,Botanical,G4,S2S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,U - Unrankable,Not Recorded,20 - 40 Years,1986-05-16,1986-05-16,1986-05-16,81,2000
689,Abbeville,Sistrurus miliarius,Pygmy Rattlesnake,Reptiles,Zoological,G5,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not applicable,< 5 Years,2023-07-26,2023-07-26,2023-07-26,81,27132
691,Abbeville,Solidago radula,Rough Goldenrod,Dicots,Botanical,G5?,S1,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not Recorded,> 40 Years,1979-08-09,1979-08-09,1979-08-09,81,7424
692,Abbeville,Somatogyrus virginicus,Panhandle Pebblesnail,Freshwater Snails,Zoological,G2G3,S2S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,E - Verified extant (viability not assessed),Not applicable,10 - 20 Years,2005-07-29,2005-07-29,2005-07-29,81,25390
695,Abbeville,Sylvilagus aquaticus,Swamp Rabbit,Mammals,Zoological,G5,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,N - Not Ranked,Not applicable,< 5 Years,2023-06-12,2023-06-12,2023-06-12,81,26374
697,Abbeville,Symphyotrichum georgianum,Georgia Aster,Dicots,Botanical,G3,S3S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Highest,3,N - Not Ranked,Not Recorded,10 - 20 Years,2014-10-15,2014-10-15,2014-10-15,81,775
699,Abbeville,Terrapene carolina,Eastern Box Turtle,Turtles,Zoological,G5,S3,1,R: Regulated,R: Regulated,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,20 - 40 Years,2000-07-26,2000-07-26,2000-07-26,81,7019
700,Abbeville,Trillium rugelii,Southern Nodding Trillium,Monocots,Botanical,G4,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,D? - Possibly poor estimated viability/ecological integrity,Not Recorded,5 - 10 Years,2006-05-02,2019-04-12,2019-04-12,81,1300
702,Abbeville,Uniomerus carolinianus,Eastern Pondhorn,Freshwater Mussels,Zoological,G4,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not applicable,20 - 40 Years,1992-04-15,1992-04-15,1992-04-15,81,26997
706,Abbeville,Villosa delumbis,Eastern Creekshell,Freshwater Mussels,Zoological,G4,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,1993-08-17,2023-08-17,2023-08-17,81,16940
714,Abbeville,Viola tenuipes,Three-parted Violet,Dicots,Botanical,GNR,S1,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not Recorded,5 - 10 Years,2019-05-01,2019-05-16,2019-05-16,81,112
719,Abbeville,Viola tripartita,Three-parted Violet,Dicots,Botanical,G5T3,S3?,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not Recorded,20 - 40 Years,1998-04-11,1998-04-11,1998-04-11,81,5572
721,Aiken,Acantharchus pomotis,Mud Sunfish,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4G5,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,2021-03-15,2021-03-15,2021-03-15,232,27393
821,Aiken,Acipenser brevirostrum,Shortnose Sturgeon,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G3,S3,1,SE: State Endangered,SE: State Endangered,LE: Federally Endangered,LE: Federally Endangered,1,1,Highest,3,N - Not Ranked,Freshwater,20 - 40 Years,1998-10-08,1998-10-08,1998-10-08,232,8297
823,Aiken,Acipenser oxyrinchus oxyrinchus,Atlantic Sturgeon,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G3T3,S3,1,Not Applicable,Not Applicable,LE: Federally Endangered,LE: Federally Endangered,1,1,Highest,3,N - Not Ranked,Freshwater,5 - 10 Years,2019,2019,2019,232,8457
825,Aiken,Aesculus parviflora,Bottlebrush Buckeye,Dicots,Botanical,G3,S1,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,E - Verified extant (viability not assessed),Not Recorded,< 5 Years,2021-03-25,2022-12-13,2022-12-13,232,6933
829,Aiken,Agarodes libalis,Spring-loving Psiloneuran Caddisfly,Caddisflies,Zoological,G3,SNR,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not applicable,> 40 Years,1971-07-17,1971-07-17,1971-07-17,232,7635
830,Aiken,Agrimonia incisa,Pineland Agrimony,Dicots,Botanical,G3,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,High,3,N - Not Ranked,Not Recorded,5 - 10 Years,2018-07-25,2018-07-25,2018-07-25,232,22566
842,Aiken,Alburnops chalybaeus,Ironcolor Shiner,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S3S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,10 - 20 Years,2011-06-23,2011-06-23,2011-06-23,232,10162
902,Aiken,Allium cuthbertii,Cuthbert's Onion,Monocots,Botanical,G4,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not Recorded,< 5 Years,2024-07-10 16:11,2024-07-10 16:11,2024-07-10 16:11,232,28050
931,Aiken,Alloperla furcula,Blackwater Sallfly,Stoneflies,Zoological,G2,SNR,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not applicable,> 40 Years,1977-05-17,1977-05-17,1977-05-17,232,7457
932,Aiken,Alosa aestivalis,Blueback Herring,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G3G4,S4S5,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Highest,3,N - Not Ranked,Freshwater,< 5 Years,2021,2021,2021,232,9054
